Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Mads Roerslev,Defender,34,4,40,48,65%,1,2,19,61,26,0,82,88,94,11,15,27,0,0,2,605,17.8,3,62,39%,1,22,1,0,10,3,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Morgan Rogers,Forward,11,0,0,8,0%,0,3,3,8,6,0,0,0,0,0,0,0,0,0,1,188,17.1,1,2,0%,0,0,3,0,12,0,3,0,2,1,0,0.3,0,0,11,5,45%,1,0,0,0,0,0,0,0,0
Cristian Romero,Defender,33,7,42,66,61%,3,4,44,100,57,1,189,182,86,5,90,39,1,0,0,2586,78.4,1,3,0%,6,60,7,1,31,1,5,3,2,0,2,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Joe Rothwell,Midfielder,11,0,0,7,29%,0,1,3,2,0,0,32,16,18,7,0,2,0,0,0,202,18.4,0,12,17%,0,3,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0%,0,0,0,0,0,0,0,0,0
Rúben Dias,Defender,30,9,28,39,51%,0,6,30,75,32,2,108,101,79,0,47,43,1,0,0,2608,86.9,1,13,31%,2,84,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Bukayo Saka,Forward,35,0,0,66,0%,0,44,15,19,6,0,0,0,0,0,0,0,0,0,9,1310,37.4,15,181,0%,0,0,4,0,41,8,16,1,4,11,3,0.5,6,0,108,37,34%,11,0,0,0,0,0,0,0,0
William Saliba,Defender,38,18,29,41,63%,4,4,29,78,46,0,213,139,94,10,72,49,0,0,1,2839,74.7,0,3,33%,3,68,4,0,22,0,2,2,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Albert Sambi Lokonga,Midfielder,17,0,0,29,62%,0,4,11,14,2,0,64,82,52,11,16,9,0,0,3,740,43.5,2,13,8%,5,41,4,0,18,0,1,1,0,0,0,0.1,0,0,8,2,25%,0,0,0,0,0,0,0,0,0
Robert Sánchez,Goalkeeper,16,3,25,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,520,32.5,0,0,0%,0,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,53,1,2,17,2,13,87,91
Ibrahim Sangaré,Midfielder,17,0,0,42,55%,0,3,16,19,8,0,70,65,69,6,9,16,0,0,0,419,24.7,0,2,0%,3,23,6,0,22,2,0,0,0,0,0,0,0,0,8,0,0%,1,0,0,0,0,0,0,0,0
Pablo Sarabia,Midfielder,30,0,0,20,65%,0,15,10,6,3,0,90,69,110,17,7,22,0,0,7,829,27.6,9,131,29%,9,33,5,0,21,9,4,1,0,3,0,0.1,2,0,46,18,39%,4,0,0,0,0,0,0,0,0
Kevin Schade,Midfielder,11,0,0,3,33%,0,1,1,4,3,0,23,28,44,2,17,14,0,0,1,88,8,2,5,40%,1,0,0,0,10,2,2,0,2,0,1,0.2,0,0,8,4,50%,2,0,0,0,0,0,0,0,0
Fabian Schär,Defender,36,8,58,42,57%,1,12,36,131,50,1,174,150,149,13,70,72,0,0,1,2106,58.5,2,8,38%,6,185,5,0,38,0,4,1,3,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jeffrey Schlupp,Midfielder,29,0,0,38,63%,0,4,8,18,12,0,54,92,93,17,22,17,0,0,2,323,11.1,2,10,20%,0,6,1,0,24,0,2,0,0,2,0,0.1,0,0,19,11,58%,1,0,0,0,0,0,0,0,0
Alex Scott,Midfielder,23,0,0,24,63%,0,5,12,17,9,0,63,76,89,13,17,22,0,1,1,432,18.8,4,36,19%,2,15,3,0,20,1,1,0,0,1,0,0,0,0,15,4,27%,0,0,0,0,0,0,0,0,0
Matz Sels,Goalkeeper,16,1,27,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,325,20.3,0,0,0%,0,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,38,0,6,11,1,3,51,93
Antoine Semenyo,Forward,33,0,0,24,0%,0,20,6,20,14,0,0,0,0,0,0,0,0,0,2,587,17.8,6,45,0%,0,0,6,0,43,3,8,0,4,4,1,0.2,0,0,70,31,44%,5,0,0,0,0,0,0,0,0
Marcos Senesi,Defender,31,4,44,55,58%,2,0,35,105,51,0,164,114,131,11,41,41,0,0,5,1259,40.6,2,25,44%,4,125,13,0,41,0,4,3,1,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Luke Shaw,Defender,12,2,13,11,73%,0,0,6,37,19,0,59,34,39,7,13,10,0,0,0,551,45.9,1,33,27%,2,16,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Luis Sinisterra,Forward,20,0,0,23,0%,0,8,8,4,1,0,0,0,0,0,0,0,0,0,2,281,14.1,2,11,0%,0,0,0,0,11,4,2,0,2,0,1,0.1,0,0,27,9,33%,1,0,0,0,0,0,0,0,0
Oliver Skipp,Midfielder,21,0,0,18,67%,0,3,3,6,5,0,36,35,32,2,4,10,0,0,0,373,17.8,0,1,100%,1,14,3,0,8,0,0,0,0,0,0,0,0,0,4,1,25%,1,0,0,0,0,0,0,0,0
Emile Smith Rowe,Midfielder,13,0,0,4,25%,0,4,3,1,0,0,15,12,19,3,3,5,0,0,1,211,16.2,0,1,0%,0,1,0,0,5,0,0,0,0,0,1,0,0,0,15,7,47%,1,0,0,0,0,0,0,0,0
Dominic Solanke,Forward,38,0,0,23,0%,0,31,7,43,33,0,0,0,0,0,0,0,0,0,3,533,14,3,6,0%,0,0,3,0,42,16,19,4,14,1,4,0.5,2,0,109,38,35%,14,0,0,0,0,0,0,0,0
Manor Solomon,Forward,5,0,0,3,0%,0,3,3,1,1,0,0,0,0,0,0,0,0,0,2,85,17,1,5,0%,0,0,1,0,2,1,0,0,0,0,0,0,0,0,7,1,14%,0,0,0,0,0,0,0,0,0
Son Heung-Min,Forward,35,0,0,21,0%,0,22,8,4,1,0,0,0,0,0,0,0,0,0,10,1025,29.3,20,36,0%,0,0,1,0,12,20,17,0,13,4,4,0.5,2,0,85,40,47%,7,0,0,0,0,0,0,0,0
Tomás Soucek,Midfielder,37,0,0,53,66%,0,8,37,107,60,0,151,189,161,4,108,81,0,0,2,947,25.6,4,6,33%,2,31,7,0,41,10,7,1,4,2,1,0.2,0,0,43,15,35%,11,0,0,0,0,0,0,0,0
Jason Steele,Goalkeeper,17,2,34,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,35.4,0,0,0%,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,43,0,2,7,1,17,69,54
Raheem Sterling,Forward,31,0,0,21,0%,0,14,13,8,6,0,0,0,0,0,0,0,0,0,4,658,21.2,7,59,0%,0,0,7,0,34,10,8,0,5,3,2,0.3,0,1,51,22,43%,11,0,0,0,0,0,0,0,0
John Stones,Defender,16,4,9,2,50%,0,2,10,20,8,0,46,22,22,1,14,5,0,0,0,831,51.9,0,5,0%,0,25,2,0,4,0,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Dominik Szoboszlai,Midfielder,33,0,0,32,59%,0,23,15,13,5,0,171,97,137,24,14,20,0,0,2,1399,42.4,7,113,25%,3,54,1,0,29,3,3,1,1,1,0,0.1,0,0,60,15,25%,2,0,0,0,0,0,0,0,0
James Tarkowski,Defender,38,13,51,61,69%,3,5,56,186,107,1,186,242,147,16,145,62,0,1,1,1525,40.1,5,6,50%,1,159,11,0,45,1,1,1,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Marcus Tavernier,Midfielder,30,0,0,53,64%,0,16,5,19,8,0,142,132,169,44,13,31,0,0,4,760,25.3,7,116,21%,3,26,3,0,20,3,3,0,0,3,1,0.1,0,0,53,16,30%,3,0,0,0,0,0,0,0,0
Charlie Taylor,Defender,28,2,46,35,57%,0,4,19,67,34,0,106,101,91,9,41,38,0,0,1,1042,37.2,4,71,20%,0,51,8,0,20,2,1,0,0,1,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Kenny Tete,Defender,14,2,21,27,63%,0,0,16,31,14,0,45,53,40,9,5,5,0,0,0,422,30.1,0,23,30%,1,15,2,0,16,0,1,0,1,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Thiago Silva,Defender,31,6,45,29,52%,1,5,26,150,74,0,140,90,51,2,53,27,0,1,1,2279,73.5,3,4,25%,0,96,4,0,10,1,3,2,1,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Youri Tielemans,Midfielder,32,0,0,41,49%,0,5,15,8,4,0,97,98,86,15,13,9,0,0,6,907,28.3,5,31,6%,17,36,3,0,22,0,2,0,2,0,2,0.1,0,0,14,6,43%,1,0,0,0,0,0,0,0,0
Harry Toffolo,Defender,23,1,29,26,54%,0,1,14,44,21,0,57,54,48,1,25,15,0,0,3,446,19.4,3,47,34%,0,17,3,0,17,0,1,1,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,Defender,22,3,10,20,45%,0,6,18,30,16,0,54,57,50,4,26,20,0,0,1,608,27.6,0,14,36%,2,16,0,1,14,1,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Sandro Tonali,Midfielder,8,0,0,7,100%,0,1,2,4,2,0,20,17,19,3,1,0,0,0,0,267,33.4,0,11,36%,0,7,2,0,9,0,1,0,1,0,0,0.1,0,0,3,2,67%,1,0,0,0,0,0,0,0,0
Ivan Toney,Forward,17,0,0,15,0%,0,11,10,17,14,0,0,0,0,0,0,0,0,0,2,388,22.8,3,22,0%,0,0,5,0,24,7,4,0,4,0,1,0.2,0,1,51,22,43%,11,0,0,0,0,0,0,0,0
Pau Torres,Defender,29,6,37,29,62%,0,3,14,74,30,2,127,79,76,17,23,22,0,0,0,1770,61,1,8,38%,1,85,1,0,18,2,2,1,0,1,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Toti Gomes,Defender,35,4,49,44,57%,0,2,26,87,41,3,136,136,91,23,56,32,0,0,3,1713,48.9,2,13,8%,1,46,7,0,38,2,1,1,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Andros Townsend,Midfielder,27,0,0,21,62%,0,9,5,9,2,0,68,49,76,16,0,10,0,0,3,349,12.9,2,74,23%,1,15,1,0,13,2,1,1,0,0,0,0,0,0,20,7,35%,0,0,0,0,0,0,0,0,0
James Trafford,Goalkeeper,28,2,62,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1368,48.9,0,0,0%,0,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,106,0,20,25,2,20,162,198
Mike Trésor,Forward,16,0,0,10,0%,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,146,9.1,1,32,0%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0%,1,0,0,0,0,0,0,0,0
Kieran Trippier,Defender,28,4,43,57,47%,1,2,24,47,31,0,162,125,99,16,31,17,0,2,10,1714,61.2,13,212,33%,1,79,5,0,27,3,1,0,0,1,2,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Leandro Trossard,Forward,34,0,0,27,0%,0,19,8,5,4,0,0,0,0,0,0,0,0,0,1,606,17.8,3,57,0%,0,0,2,0,15,9,12,1,7,4,1,0.4,0,0,60,22,37%,7,0,0,0,0,0,0,0,0
Auston Trusty,Defender,32,1,81,47,64%,3,1,35,145,82,1,89,127,104,6,63,51,0,1,0,846,26.4,3,5,40%,0,38,4,0,23,3,0,0,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Kostas Tsimikas,Defender,13,3,7,19,68%,0,1,6,9,4,0,43,33,44,4,4,14,0,0,3,360,27.7,2,72,26%,0,12,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Matt Turner,Goalkeeper,17,2,28,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,473,27.8,0,0,0%,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,55,0,5,28,2,9,99,136
Destiny Udogie,Defender,28,2,40,68,49%,1,2,37,67,40,0,169,150,151,24,22,27,0,3,3,1214,43.4,3,22,5%,0,7,5,1,51,3,2,0,0,2,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Lesley Ugochukwu,Midfielder,12,0,0,14,71%,0,0,1,5,3,0,12,28,15,3,9,2,0,0,0,183,15.3,0,0,0%,0,5,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Enes Ünal,Forward,16,0,0,6,0%,0,5,1,6,3,0,0,0,0,0,0,0,0,0,2,72,4.5,2,3,0%,0,0,1,0,10,6,2,1,1,0,0,0.1,0,0,23,11,48%,6,0,0,0,0,0,0,0,0
Micky van de Ven,Defender,27,5,38,49,71%,4,1,18,71,34,1,144,119,84,15,38,41,0,0,0,1783,66,0,3,0%,0,41,5,0,13,1,3,0,0,3,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Virgil van Dijk,Defender,36,9,40,40,57%,3,10,39,142,68,1,170,195,63,2,140,32,0,0,2,2872,79.8,3,0,0%,0,156,3,1,23,1,2,1,1,0,2,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jan Paul van Hecke,Defender,28,5,38,47,55%,1,4,30,74,42,0,130,135,71,5,66,34,0,1,0,2399,85.7,0,4,25%,3,88,4,0,14,0,0,0,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Raphaël Varane,Defender,22,3,23,18,61%,1,2,15,86,42,0,67,43,20,1,21,5,0,0,0,774,35.2,0,0,0%,1,29,2,0,8,2,1,1,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Alejo Véliz,Forward,8,0,0,1,0%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.3,0,0,0%,0,0,1,0,0,3,1,0,1,0,0,0.1,0,0,2,1,50%,0,0,0,0,0,0,0,0,0
Joël Veltman,Defender,27,2,32,54,76%,0,0,18,52,21,0,76,125,69,1,29,21,0,1,1,810,30,1,11,0%,2,30,4,0,17,1,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Bart Verbruggen,Goalkeeper,21,4,28,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,743,35.4,0,0,0%,0,91,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,65,0,6,17,5,11,117,72
Guglielmo Vicario,Goalkeeper,38,7,61,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,36.1,0,0,0%,0,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,110,0,15,30,2,31,193,201
Vinicius Souza,Midfielder,36,0,0,125,61%,0,4,32,75,49,0,153,220,152,17,67,41,0,0,0,979,27.2,0,10,20%,0,39,3,0,48,2,1,0,1,0,0,0,0,0,14,6,43%,0,0,0,0,0,0,0,0,0
Vitinho,Defender,32,2,44,64,53%,1,12,12,43,16,0,109,136,143,25,20,22,0,1,2,756,23.6,1,56,9%,4,26,1,0,27,6,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Odysseas Vlachodimos,Goalkeeper,5,1,12,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,30.6,0,0,0%,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,10,0,4,2,0,0,21,44
Kyle Walker,Defender,32,6,29,38,63%,1,7,27,35,18,0,152,102,81,21,26,15,0,0,4,2136,66.8,7,59,32%,6,78,2,0,23,7,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Aaron Wan-Bissaka,Defender,22,3,34,42,60%,1,2,41,54,22,0,94,89,61,17,21,19,0,0,2,832,37.8,1,14,29%,0,13,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Joel Ward,Defender,26,4,34,45,62%,0,3,14,84,51,0,94,104,94,8,45,49,1,0,1,800,30.8,0,22,14%,1,38,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
James Ward-Prowse,Midfielder,37,0,0,45,64%,0,13,38,44,23,0,145,102,100,11,26,33,0,0,7,1472,39.8,12,189,34%,2,50,4,0,24,0,7,1,5,1,1,0.2,2,0,44,18,41%,1,0,0,0,0,0,0,0,0
Ollie Watkins,Forward,37,0,0,12,0%,0,21,4,19,15,0,0,0,0,0,0,0,0,0,13,590,16,11,13,0%,0,0,4,0,22,16,19,5,10,4,5,0.5,0,0,107,47,44%,22,0,0,0,0,0,0,0,0
Adam Webster,Defender,15,1,22,14,86%,0,3,16,41,21,0,63,50,38,0,33,13,1,1,0,1086,72.4,0,1,0%,1,35,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Danny Welbeck,Forward,29,0,0,35,0%,0,10,9,17,10,0,0,0,0,0,0,0,0,0,1,506,17.5,3,3,0%,0,0,4,0,12,9,5,1,2,2,1,0.2,0,0,41,16,39%,10,0,0,0,0,0,0,0,0
Timo Werner,Forward,13,0,0,7,0%,0,11,3,1,0,0,0,0,0,0,0,0,0,0,3,323,24.9,3,28,0%,0,0,1,0,3,12,2,0,2,0,1,0.2,0,0,29,7,24%,5,0,0,0,0,0,0,0,0
Adam Wharton,Midfielder,16,0,0,48,67%,0,3,20,24,8,0,76,79,66,3,8,12,0,1,3,563,35.2,5,25,32%,3,28,2,0,18,0,0,0,0,0,0,0,0,0,10,1,10%,0,0,0,0,0,0,0,0,0
Ben White,Defender,37,13,26,48,58%,0,1,32,67,39,0,120,105,92,9,36,22,0,0,4,1911,51.7,7,57,23%,5,51,8,0,19,11,4,1,1,2,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Willian,Forward,31,0,0,18,0%,0,17,9,10,7,0,0,0,0,0,0,0,0,0,2,1059,34.2,6,75,0%,0,0,1,0,9,1,4,0,4,0,0,0.1,2,0,45,18,40%,3,0,0,0,0,0,0,0,0
Joe Willock,Midfielder,9,0,0,13,54%,0,1,1,1,1,0,26,24,28,7,1,1,0,0,0,153,17,0,6,17%,1,9,0,0,3,1,1,1,0,0,0,0.1,0,0,7,4,57%,1,0,0,0,0,0,0,0,0
Harry Wilson,Midfielder,35,0,0,21,67%,0,11,10,11,5,0,78,81,72,15,5,6,0,0,6,582,16.6,5,42,29%,3,29,6,0,21,5,4,0,0,4,2,0.1,0,0,40,13,33%,2,0,0,0,0,0,0,0,0
Yoane Wissa,Midfielder,34,0,0,28,57%,0,15,9,13,12,0,99,137,141,20,38,49,0,0,3,440,12.9,7,21,24%,3,12,7,0,38,20,12,0,8,4,2,0.4,0,0,67,26,39%,12,0,0,0,0,0,0,0,0
Chris Wood,Forward,31,0,0,7,0%,0,7,1,26,19,0,0,0,0,0,0,0,0,0,1,431,13.9,3,2,0%,0,0,0,0,22,7,14,5,4,5,2,0.5,0,0,48,26,54%,12,0,0,0,0,0,0,0,0
Cauley Woodrow,Forward,24,0,0,16,0%,0,5,1,13,9,0,0,0,0,0,0,0,0,0,1,139,5.8,2,10,0%,0,0,2,0,8,2,1,1,0,0,1,0,0,0,16,4,25%,0,0,0,0,0,0,0,0,0
Joe Worrall,Defender,7,1,8,7,71%,0,0,3,31,16,0,18,21,16,0,12,10,0,0,0,161,23,0,0,0%,0,12,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Yehor Yarmoliuk,Midfielder,27,0,0,17,65%,0,3,6,5,2,0,50,49,47,17,9,10,0,0,0,282,10.4,0,14,7%,0,9,2,0,12,1,0,0,0,0,0,0,0,0,11,5,45%,2,0,0,0,0,0,0,0,0
Ryan Yates,Midfielder,35,0,0,66,59%,0,11,21,39,11,0,110,168,119,4,43,38,0,0,1,817,23.3,2,6,17%,2,29,6,0,54,2,1,0,1,0,1,0,0,0,32,7,22%,2,0,0,0,0,0,0,0,0
Ashley Young,Defender,31,6,32,53,72%,0,6,22,45,24,1,120,108,114,12,19,32,1,3,0,775,25,2,100,24%,2,48,5,1,33,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Youssef Chermiti,Forward,18,0,0,3,0%,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,58,3.2,2,0,0%,0,0,3,0,11,6,0,0,0,0,0,0,0,0,7,2,29%,1,0,0,0,0,0,0,0,0
Illia Zabarnyi,Defender,37,8,67,59,54%,1,2,33,138,61,0,153,167,115,9,77,61,0,1,0,1802,48.7,0,1,0%,2,131,5,0,24,0,1,1,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Nicolò Zaniolo,Midfielder,25,0,0,19,47%,0,10,1,11,8,0,36,60,112,13,7,14,0,0,0,208,8.3,0,18,0%,0,3,7,0,24,0,2,1,0,1,0,0.1,0,0,27,10,37%,3,0,0,0,0,0,0,0,0
Zanka,Defender,14,2,24,17,71%,0,2,12,38,22,1,67,52,44,3,27,23,0,0,0,521,37.2,2,8,13%,1,26,4,0,11,3,1,0,0,1,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Anass Zaroury,Forward,6,0,0,1,0%,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,59,9.8,0,11,0%,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,1,33%,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,Defender,27,3,15,50,60%,0,10,20,22,10,1,104,93,60,7,27,16,0,1,2,1411,52.3,5,30,17%,11,53,2,0,7,1,1,0,0,1,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Kurt Zouma,Defender,33,3,63,23,74%,1,4,29,158,73,0,95,89,76,2,58,43,0,0,0,1143,34.6,0,0,0%,1,69,3,0,24,0,3,3,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Martin Ødegaard,Midfielder,35,0,0,49,35%,0,30,15,5,3,0,158,125,176,37,3,9,0,0,10,1900,54.3,17,77,39%,39,45,2,0,30,3,8,0,0,8,0,0.2,2,0,77,23,30%,4,0,0,0,0,0,0,0,0
