Name,Club,Position,Nationality,Age,Goals,Shots on target,Clean sheets,Tackles,Blocked shots,Interceptions,Clearances,Duels won,Aerial battles won,Assists,Passes,Big chances created,Through balls,Accurate long balls,Saves
Bernd Leno,Arsenal,Goalkeeper,Germany,28.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783.0,0.0,0.0,234.0,222.0
Matt Macey,Arsenal,Goalkeeper,England,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rúnar Alex Rúnarsson,Arsenal,Goalkeeper,Iceland,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Héctor Bellerín,Arsenal,Defender,Spain,25.0,7.0,0.0,53.0,214.0,32.0,208.0,304.0,611.0,161.0,18.0,7125.0,28.0,31.0,144.0,0.0
Kieran Tierney,Arsenal,Defender,Scotland,23.0,1.0,0.0,2.0,21.0,1.0,12.0,32.0,55.0,10.0,1.0,519.0,1.0,0.0,22.0,0.0
William Saliba,Arsenal,Defender,France,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sokratis,Arsenal,Defender,Greece,32.0,3.0,0.0,9.0,67.0,4.0,43.0,175.0,227.0,115.0,2.0,2416.0,4.0,2.0,172.0,0.0
Rob Holding,Arsenal,Defender,England,25.0,0.0,0.0,10.0,50.0,3.0,54.0,170.0,176.0,96.0,0.0,2200.0,0.0,1.0,116.0,0.0
Shkodran Mustafi,Arsenal,Defender,Germany,28.0,7.0,0.0,26.0,197.0,14.0,195.0,531.0,670.0,413.0,4.0,5907.0,5.0,13.0,273.0,0.0
Calum Chambers,Arsenal,Defender,England,25.0,6.0,0.0,28.0,257.0,22.0,247.0,537.0,703.0,301.0,3.0,5935.0,9.0,4.0,304.0,0.0
David Luiz,Arsenal,Defender,Brazil,33.0,13.0,0.0,64.0,240.0,59.0,344.0,832.0,846.0,344.0,7.0,10165.0,22.0,79.0,980.0,0.0
Sead Kolasinac,Arsenal,Defender,Bosnia And Herzegovina,27.0,2.0,0.0,17.0,112.0,11.0,72.0,111.0,284.0,97.0,11.0,3201.0,18.0,3.0,67.0,0.0
Gabriel Magalhães,Arsenal,Defender,Brazil,22.0,1.0,0.0,1.0,2.0,0.0,2.0,8.0,8.0,4.0,0.0,197.0,0.0,0.0,6.0,0.0
Mesut Özil,Arsenal,Midfielder,Germany,31.0,33.0,92.0,0.0,161.0,58.0,75.0,37.0,625.0,28.0,54.0,11186.0,65.0,121.0,276.0,0.0
Lucas Torreira,Arsenal,Midfielder,Uruguay,24.0,3.0,12.0,0.0,96.0,10.0,75.0,53.0,276.0,32.0,3.0,2493.0,3.0,4.0,94.0,0.0
Ainsley Maitland-Niles,Arsenal,Midfielder,England,23.0,1.0,4.0,0.0,101.0,3.0,62.0,66.0,218.0,29.0,3.0,1867.0,4.0,2.0,74.0,0.0
Mohamed Elneny,Arsenal,Midfielder,Egypt,28.0,0.0,5.0,0.0,57.0,22.0,41.0,41.0,109.0,18.0,3.0,2532.0,2.0,4.0,83.0,0.0
Joseph Willock,Arsenal,Midfielder,England,21.0,1.0,5.0,0.0,30.0,4.0,6.0,10.0,75.0,9.0,1.0,398.0,1.0,3.0,15.0,0.0
Matteo Guendouzi,Arsenal,Midfielder,France,21.0,0.0,9.0,0.0,75.0,11.0,59.0,58.0,263.0,31.0,1.0,2750.0,4.0,16.0,148.0,0.0
Emile Smith Rowe,Arsenal,Midfielder,England,20.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
Granit Xhaka,Arsenal,Midfielder,Switzerland,27.0,8.0,41.0,0.0,254.0,40.0,133.0,208.0,650.0,181.0,13.0,9739.0,12.0,35.0,673.0,0.0
Bukayo Saka,Arsenal,Midfielder,England,19.0,1.0,4.0,0.0,36.0,5.0,12.0,12.0,0.0,0.0,5.0,716.0,6.0,0.0,0.0,0.0
Dani Ceballos,Arsenal,Midfielder,Spain,24.0,0.0,3.0,0.0,49.0,6.0,37.0,14.0,127.0,12.0,3.0,1372.0,2.0,7.0,81.0,0.0
Alexandre Lacazette,Arsenal,Forward,France,29.0,39.0,93.0,0.0,92.0,44.0,30.0,49.0,0.0,0.0,16.0,2045.0,15.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,Arsenal,Forward,Gabon,31.0,55.0,105.0,0.0,58.0,52.0,25.0,38.0,0.0,0.0,13.0,1880.0,17.0,0.0,0.0,0.0
Nicolas Pépé,Arsenal,Forward,Cote D'Ivoire,25.0,5.0,18.0,0.0,32.0,14.0,8.0,4.0,0.0,0.0,6.0,723.0,8.0,0.0,0.0,0.0
Reiss Nelson,Arsenal,Forward,England,20.0,1.0,4.0,0.0,15.0,5.0,6.0,2.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0
Eddie Nketiah,Arsenal,Forward,England,21.0,4.0,8.0,0.0,9.0,4.0,2.0,6.0,0.0,0.0,0.0,172.0,1.0,0.0,0.0,0.0
Gabriel Martinelli,Arsenal,Forward,Brazil,19.0,3.0,5.0,0.0,20.0,2.0,3.0,5.0,46.0,8.0,0.0,116.0,0.0,1.0,2.0,0.0
Willian,Arsenal,Forward,Brazil,32.0,37.0,145.0,0.0,246.0,111.0,100.0,54.0,0.0,0.0,35.0,8290.0,51.0,0.0,0.0,0.0
Tom Heaton,Aston-Villa,Goalkeeper,England,34.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3290.0,0.0,0.0,1067.0,408.0
Jed Steer,Aston-Villa,Goalkeeper,England,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,6.0,2.0
Ørjan Nyland,Aston-Villa,Goalkeeper,Norway,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,35.0,15.0
Lovre Kalinic,Aston-Villa,Goalkeeper,Croatia,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Martínez,Aston-Villa,Goalkeeper,Argentina,28.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,62.0,44.0
Neil Taylor,Aston-Villa,Defender,Wales,31.0,0.0,0.0,38.0,266.0,14.0,241.0,350.0,493.0,94.0,5.0,5491.0,6.0,5.0,214.0,0.0
Ezri Konsa Ngoyo,Aston-Villa,Defender,England,22.0,2.0,0.0,5.0,19.0,3.0,27.0,70.0,116.0,56.0,2.0,810.0,2.0,0.0,36.0,0.0
Matt Targett,Aston-Villa,Defender,England,25.0,2.0,0.0,12.0,122.0,8.0,124.0,156.0,274.0,84.0,6.0,2240.0,13.0,8.0,140.0,0.0
Björn Engels,Aston-Villa,Defender,Belgium,26.0,1.0,0.0,2.0,11.0,0.0,28.0,85.0,71.0,55.0,0.0,647.0,0.0,0.0,49.0,0.0
Frédéric Guilbert,Aston-Villa,Defender,France,25.0,0.0,0.0,2.0,74.0,2.0,49.0,62.0,164.0,48.0,2.0,749.0,1.0,0.0,40.0,0.0
Ahmed El Mohamady,Aston-Villa,Defender,Egypt,33.0,6.0,0.0,28.0,267.0,19.0,246.0,342.0,960.0,444.0,13.0,6628.0,19.0,7.0,304.0,0.0
Kortney Hause,Aston-Villa,Defender,England,25.0,1.0,3.0,0.0,21.0,2.0,20.0,94.0,138.0,100.0,0.0,799.0,1.0,1.0,62.0,0.0
Tyrone Mings,Aston-Villa,Defender,England,27.0,2.0,0.0,7.0,30.0,1.0,49.0,253.0,162.0,96.0,3.0,1961.0,2.0,0.0,155.0,0.0
Matthew Cash,Aston-Villa,Defender,England,23.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,56.0,0.0,0.0,3.0,0.0
Douglas Luiz,Aston-Villa,Midfielder,Brazil,22.0,3.0,13.0,0.0,46.0,17.0,36.0,47.0,150.0,31.0,2.0,1300.0,3.0,4.0,100.0,0.0
John McGinn,Aston-Villa,Midfielder,Scotland,25.0,3.0,20.0,0.0,53.0,12.0,26.0,15.0,193.0,19.0,3.0,759.0,3.0,3.0,85.0,0.0
Henri Lansbury,Aston-Villa,Midfielder,England,29.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,10.0,2.0,0.0,115.0,0.0,0.0,11.0,0.0
Jack Grealish,Aston-Villa,Midfielder,England,25.0,9.0,32.0,0.0,45.0,33.0,44.0,17.0,419.0,29.0,7.0,2098.0,12.0,2.0,103.0,0.0
Marvelous Nakamba,Aston-Villa,Midfielder,Zimbabwe,26.0,0.0,1.0,0.0,55.0,0.0,39.0,32.0,115.0,23.0,0.0,782.0,0.0,0.0,24.0,0.0
Conor Hourihane,Aston-Villa,Midfielder,Ireland,29.0,3.0,10.0,0.0,16.0,13.0,9.0,27.0,54.0,14.0,5.0,665.0,8.0,1.0,22.0,0.0
Trézéguet,Aston-Villa,Midfielder,Egypt,25.0,6.0,17.0,0.0,40.0,22.0,27.0,14.0,134.0,32.0,1.0,388.0,0.0,0.0,10.0,0.0
Anwar El Ghazi,Aston-Villa,Midfielder,Netherlands,25.0,4.0,20.0,0.0,20.0,11.0,13.0,12.0,97.0,31.0,4.0,479.0,4.0,1.0,15.0,0.0
Jota,Aston-Villa,Midfielder,Spain,29.0,0.0,1.0,0.0,3.0,4.0,3.0,5.0,13.0,1.0,1.0,93.0,1.0,2.0,6.0,0.0
Jacob Ramsey,Aston-Villa,Midfielder,England,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley,Aston-Villa,Forward,Brazil,23.0,5.0,18.0,0.0,15.0,8.0,4.0,23.0,0.0,0.0,1.0,367.0,1.0,0.0,0.0,0.0
Keinan Davis,Aston-Villa,Forward,England,22.0,0.0,5.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0
Ollie Watkins,Aston-Villa,Forward,England,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
Bertrand Traoré,Aston-Villa,Forward,Burkina Faso,25.0,2.0,6.0,0.0,9.0,7.0,2.0,3.0,0.0,0.0,1.0,136.0,1.0,0.0,0.0,0.0
Mat Ryan,Brighton-and-Hove-Albion,Goalkeeper,Australia,28.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3272.0,0.0,0.0,964.0,340.0
Jason Steele,Brighton-and-Hove-Albion,Goalkeeper,England,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Walton,Brighton-and-Hove-Albion,Goalkeeper,England,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Sánchez,Brighton-and-Hove-Albion,Goalkeeper,Spain,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben White,Brighton-and-Hove-Albion,Defender,England,22.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,8.0,4.0,0.0,101.0,0.0,0.0,4.0,0.0
Tariq Lamptey,Brighton-and-Hove-Albion,Defender,England,19.0,0.0,0.0,1.0,12.0,2.0,23.0,16.0,57.0,5.0,2.0,243.0,4.0,0.0,3.0,0.0
Lewis Dunk,Brighton-and-Hove-Albion,Defender,England,28.0,6.0,0.0,27.0,151.0,16.0,173.0,547.0,560.0,345.0,5.0,5364.0,3.0,6.0,506.0,0.0
Adam Webster,Brighton-and-Hove-Albion,Defender,England,25.0,3.0,0.0,6.0,33.0,3.0,48.0,112.0,179.0,114.0,1.0,2001.0,2.0,1.0,120.0,0.0
Bernardo,Brighton-and-Hove-Albion,Defender,Brazil,25.0,0.0,0.0,2.0,89.0,5.0,40.0,86.0,212.0,75.0,1.0,1115.0,3.0,0.0,35.0,0.0
Dan Burn,Brighton-and-Hove-Albion,Defender,England,28.0,0.0,0.0,9.0,73.0,5.0,51.0,203.0,270.0,165.0,0.0,1792.0,2.0,3.0,62.0,0.0
Joël Veltman,Brighton-and-Hove-Albion,Defender,Netherlands,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romaric Yapi,Brighton-and-Hove-Albion,Defender,France,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Cochrane,Brighton-and-Hove-Albion,Defender,England,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haydon Roberts,Brighton-and-Hove-Albion,Defender,England,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dale Stephens,Brighton-and-Hove-Albion,Midfielder,England,31.0,1.0,5.0,0.0,261.0,16.0,167.0,152.0,402.0,73.0,5.0,4785.0,4.0,7.0,381.0,0.0
Yves Bissouma,Brighton-and-Hove-Albion,Midfielder,Mali,24.0,1.0,10.0,0.0,115.0,11.0,57.0,48.0,285.0,48.0,0.0,1441.0,1.0,6.0,74.0,0.0
Alexis Mac Allister,Brighton-and-Hove-Albion,Midfielder,Argentina,21.0,0.0,1.0,0.0,9.0,3.0,1.0,1.0,17.0,3.0,0.0,98.0,0.0,0.0,2.0,0.0
Pascal Groß,Brighton-and-Hove-Albion,Midfielder,Germany,29.0,12.0,38.0,0.0,101.0,29.0,37.0,48.0,216.0,49.0,15.0,2937.0,35.0,17.0,166.0,0.0
Adam Lallana,Brighton-and-Hove-Albion,Midfielder,England,32.0,30.0,96.0,0.0,322.0,91.0,166.0,126.0,886.0,120.0,28.0,6407.0,25.0,47.0,146.0,0.0
Solly March,Brighton-and-Hove-Albion,Midfielder,England,26.0,2.0,26.0,0.0,140.0,31.0,62.0,66.0,372.0,52.0,7.0,1971.0,13.0,3.0,100.0,0.0
Davy Pröpper,Brighton-and-Hove-Albion,Midfielder,Netherlands,29.0,2.0,15.0,0.0,187.0,22.0,151.0,134.0,456.0,112.0,7.0,4384.0,7.0,7.0,258.0,0.0
Steven Alzate,Brighton-and-Hove-Albion,Midfielder,Colombia,22.0,0.0,4.0,0.0,34.0,7.0,15.0,13.0,0.0,0.0,0.0,681.0,0.0,0.0,0.0,0.0
Max Sanders,Brighton-and-Hove-Albion,Midfielder,England,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayson Molumby,Brighton-and-Hove-Albion,Midfielder,Ireland,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lars Dendoncker,Brighton-and-Hove-Albion,Midfielder,Belgium,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Gwargis,Brighton-and-Hove-Albion,Midfielder,Sweden,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leandro Trossard,Brighton-and-Hove-Albion,Forward,Belgium,25.0,6.0,14.0,0.0,23.0,8.0,11.0,6.0,0.0,0.0,4.0,772.0,7.0,0.0,0.0,0.0
Neal Maupay,Brighton-and-Hove-Albion,Forward,France,24.0,12.0,41.0,0.0,21.0,31.0,5.0,9.0,0.0,0.0,4.0,710.0,3.0,0.0,0.0,0.0
Alireza Jahanbakhsh,Brighton-and-Hove-Albion,Forward,Iran,27.0,2.0,8.0,0.0,41.0,10.0,14.0,3.0,0.0,0.0,0.0,401.0,2.0,0.0,0.0,0.0
José Izquierdo,Brighton-and-Hove-Albion,Forward,Colombia,28.0,5.0,19.0,0.0,38.0,19.0,21.0,32.0,0.0,0.0,4.0,728.0,4.0,0.0,0.0,0.0
Aaron Connolly,Brighton-and-Hove-Albion,Forward,Ireland,20.0,4.0,16.0,0.0,8.0,14.0,0.0,3.0,0.0,0.0,1.0,161.0,1.0,0.0,0.0,0.0
Florin Andone,Brighton-and-Hove-Albion,Forward,Romania,27.0,4.0,9.0,0.0,11.0,6.0,3.0,13.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0
Viktor Gyökeres,Brighton-and-Hove-Albion,Forward,Sweden,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Pope,Burnley,Goalkeeper,England,28.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.0,0.0,0.0,647.0,237.0
Bailey Peacock-Farrell,Burnley,Goalkeeper,Northern Ireland,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Norris,Burnley,Goalkeeper,England,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Lowton,Burnley,Defender,England,31.0,2.0,0.0,36.0,415.0,6.0,317.0,697.0,796.0,198.0,12.0,5463.0,18.0,19.0,466.0,0.0
Charlie Taylor,Burnley,Defender,England,27.0,0.0,0.0,19.0,111.0,1.0,86.0,186.0,411.0,144.0,2.0,2249.0,3.0,0.0,134.0,0.0
James Tarkowski,Burnley,Defender,England,27.0,5.0,0.0,34.0,202.0,13.0,166.0,691.0,861.0,540.0,3.0,3839.0,7.0,0.0,355.0,0.0
Ben Mee,Burnley,Defender,England,31.0,4.0,0.0,47.0,240.0,13.0,260.0,1082.0,986.0,609.0,4.0,6088.0,7.0,1.0,634.0,0.0
Erik Pieters,Burnley,Defender,Netherlands,32.0,1.0,0.0,44.0,538.0,11.0,354.0,620.0,1142.0,324.0,11.0,6880.0,17.0,5.0,308.0,0.0
Phil Bardsley,Burnley,Defender,Scotland,35.0,7.0,0.0,67.0,728.0,56.0,423.0,1081.0,1395.0,302.0,5.0,9247.0,17.0,19.0,584.0,0.0
Kevin Long,Burnley,Defender,Ireland,30.0,1.0,0.0,7.0,63.0,6.0,34.0,214.0,236.0,139.0,3.0,1038.0,4.0,0.0,104.0,0.0
Jimmy Dunne,Burnley,Defender,Ireland,22.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,9.0,7.0,0.0,25.0,0.0,0.0,2.0,0.0
Bobby Thomas,Burnley,Defender,England,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Driscoll-Glennon,Burnley,Defender,England,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Cork,Burnley,Midfielder,England,31.0,8.0,42.0,0.0,466.0,43.0,400.0,477.0,1312.0,393.0,9.0,11059.0,11.0,34.0,591.0,0.0
Jóhann Gudmundsson,Burnley,Midfielder,Iceland,29.0,7.0,37.0,0.0,93.0,32.0,91.0,90.0,313.0,93.0,17.0,1750.0,12.0,3.0,82.0,0.0
Josh Brownhill,Burnley,Midfielder,England,24.0,0.0,0.0,0.0,15.0,3.0,19.0,17.0,52.0,21.0,0.0,368.0,0.0,0.0,10.0,0.0
Dwight McNeil,Burnley,Midfielder,England,20.0,5.0,20.0,0.0,83.0,25.0,43.0,59.0,0.0,0.0,12.0,1509.0,17.0,0.0,0.0,0.0
Robbie Brady,Burnley,Midfielder,Ireland,28.0,9.0,42.0,0.0,241.0,54.0,136.0,214.0,596.0,136.0,12.0,3280.0,23.0,12.0,195.0,0.0
Ashley Westwood,Burnley,Midfielder,England,30.0,9.0,34.0,0.0,336.0,48.0,321.0,241.0,586.0,94.0,25.0,9880.0,39.0,22.0,790.0,0.0
Josh Benson,Burnley,Midfielder,England,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wood,Burnley,Forward,New Zealand,28.0,36.0,81.0,0.0,28.0,22.0,7.0,62.0,0.0,0.0,4.0,1535.0,8.0,0.0,0.0,0.0
Ashley Barnes,Burnley,Forward,England,30.0,38.0,104.0,0.0,103.0,53.0,33.0,111.0,0.0,0.0,6.0,2475.0,11.0,0.0,0.0,0.0
Jay Rodriguez,Burnley,Forward,England,31.0,41.0,140.0,0.0,154.0,87.0,82.0,113.0,0.0,0.0,12.0,2835.0,14.0,0.0,0.0,0.0
Matej Vydra,Burnley,Forward,Czech Republic,28.0,6.0,20.0,0.0,10.0,5.0,5.0,13.0,0.0,0.0,5.0,359.0,4.0,0.0,0.0,0.0
Kepa Arrizabalaga,Chelsea,Goalkeeper,Spain,25.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,0.0,0.0,334.0,142.0
Willy Caballero,Chelsea,Goalkeeper,Argentina,38.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,0.0,0.0,166.0,72.0
Antonio Rüdiger,Chelsea,Defender,Germany,27.0,5.0,0.0,28.0,93.0,15.0,72.0,252.0,341.0,199.0,1.0,5738.0,5.0,14.0,364.0,0.0
Marcos Alonso,Chelsea,Defender,Spain,29.0,20.0,0.0,52.0,288.0,63.0,215.0,369.0,800.0,286.0,12.0,6434.0,17.0,8.0,214.0,0.0
Andreas Christensen,Chelsea,Defender,Denmark,24.0,0.0,0.0,12.0,76.0,3.0,74.0,193.0,254.0,145.0,0.0,3213.0,2.0,3.0,131.0,0.0
Kurt Zouma,Chelsea,Defender,France,25.0,5.0,0.0,35.0,160.0,13.0,225.0,653.0,681.0,413.0,4.0,5767.0,2.0,0.0,396.0,0.0
Reece James,Chelsea,Defender,England,20.0,1.0,0.0,4.0,43.0,6.0,26.0,27.0,137.0,42.0,3.0,1104.0,6.0,0.0,45.0,0.0
César Azpilicueta,Chelsea,Defender,Spain,31.0,8.0,0.0,95.0,722.0,29.0,475.0,788.0,1400.0,475.0,31.0,15647.0,32.0,25.0,633.0,0.0
Fikayo Tomori,Chelsea,Defender,England,22.0,1.0,0.0,4.0,32.0,1.0,24.0,53.0,81.0,34.0,0.0,1193.0,0.0,3.0,43.0,0.0
Emerson,Chelsea,Defender,Italy,26.0,0.0,0.0,4.0,43.0,6.0,28.0,31.0,122.0,25.0,1.0,1285.0,3.0,2.0,32.0,0.0
Ben Chilwell,Chelsea,Defender,England,23.0,4.0,0.0,24.0,157.0,10.0,117.0,261.0,637.0,261.0,9.0,4540.0,12.0,8.0,137.0,0.0
Thiago Silva,Chelsea,Defender,Brazil,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Castillo,Chelsea,Defender,Netherlands,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakim Ziyech,Chelsea,Midfielder,Morocco,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorginho,Chelsea,Midfielder,Italy,28.0,7.0,13.0,0.0,147.0,9.0,130.0,64.0,256.0,29.0,3.0,5482.0,12.0,50.0,231.0,0.0
N'Golo Kanté,Chelsea,Midfielder,France,29.0,10.0,29.0,0.0,540.0,46.0,420.0,184.0,922.0,123.0,10.0,8952.0,15.0,28.0,364.0,0.0
Ross Barkley,Chelsea,Midfielder,England,26.0,25.0,119.0,0.0,172.0,145.0,76.0,108.0,973.0,170.0,27.0,7686.0,32.0,59.0,469.0,0.0
Ruben Loftus-Cheek,Chelsea,Midfielder,England,24.0,9.0,19.0,0.0,54.0,27.0,44.0,41.0,355.0,65.0,6.0,1854.0,7.0,6.0,50.0,0.0
Mateo Kovacic,Chelsea,Midfielder,Croatia,26.0,1.0,9.0,0.0,108.0,24.0,30.0,34.0,320.0,19.0,5.0,3398.0,4.0,19.0,128.0,0.0
Mason Mount,Chelsea,Midfielder,England,21.0,7.0,29.0,0.0,43.0,28.0,18.0,19.0,136.0,10.0,5.0,1312.0,8.0,3.0,28.0,0.0
Christian Pulisic,Chelsea,Midfielder,United States,22.0,9.0,26.0,0.0,23.0,15.0,6.0,7.0,128.0,20.0,4.0,668.0,6.0,4.0,19.0,0.0
Billy Gilmour,Chelsea,Midfielder,Scotland,19.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,10.0,2.0,0.0,172.0,0.0,0.0,9.0,0.0
Kai Havertz,Chelsea,Midfielder,Germany,21.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,2.0,0.0,41.0,0.0,1.0,1.0,0.0
Timo Werner,Chelsea,Forward,Germany,24.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
Tammy Abraham,Chelsea,Forward,England,22.0,20.0,56.0,0.0,18.0,26.0,8.0,39.0,0.0,0.0,4.0,721.0,6.0,0.0,0.0,0.0
Olivier Giroud,Chelsea,Forward,France,33.0,86.0,212.0,0.0,145.0,104.0,64.0,178.0,0.0,0.0,28.0,4718.0,40.0,0.0,0.0,0.0
Callum Hudson-Odoi,Chelsea,Forward,England,19.0,1.0,8.0,0.0,18.0,14.0,8.0,4.0,0.0,0.0,6.0,641.0,8.0,0.0,0.0,0.0
Wayne Hennessey,Crystal-Palace,Goalkeeper,Wales,33.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4858.0,0.0,0.0,1618.0,617.0
